wo_id,wo_description,collection,primary_code,primary_code_description,secondary_code,secondary_code_description,equipment_id,equipment_name,preventive,work_priority,actual_finish,duration,actual_labor_hours
WO317052,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,7/22/18 16:36,3:00,1:00
WO382262,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,3/1/21 14:00,3:00,1:00
WO375249,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,11/13/20 14:00,3:00,1:00
WO294756,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,8/3/17 14:40,3:00,1:00
WO310167,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,3/13/18 15:14,3:00,1:00
WO369365,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04701,Chiller 1,TRUE,5,8/12/20 13:00,3:00,1:00
WO319237,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,8/17/18 17:56,3:00,1:00
WO203398,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,6/11/14 15:30,3:00,1:00
WO278464,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,12/10/16 15:09,3:00,1:00
WO286778,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,4/6/17 19:51,3:00,1:00
WO394207,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,8/18/21 15:30,3:00,1:00
WO231149,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,3/31/15 15:30,3:00,1:00
WO314540,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,5/24/18 19:46,3:00,1:00
WO380058,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,1/25/21 14:00,3:00,1:00
WO372740,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,10/6/20 12:00,3:00,1:00
WO308117,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,2/16/18 19:36,3:00,1:00
WO348765,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,11/8/19 14:00,3:00,1:00
WO254493,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,2/8/16 16:00,3:00,1:00
WO398970,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,10/7/21 19:19,3:00,1:00
WO336975,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,5/1/19 12:00,3:00,1:00
WO375248,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,11/13/20 13:00,3:00,1:00
WO233761,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,5/5/15 15:30,3:00,1:00
WO363573,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,6/3/20 15:00,3:00,1:00
WO350988,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,12/5/19 14:00,3:00,1:00
WO288755,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,5/2/17 18:42,3:00,1:00
WO291139,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,6/7/17 17:55,3:00,1:00
WO267346,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,7/11/16 19:50,3:00,1:00
WO392061,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,7/13/21 12:00,3:00,1:00
WO235856,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,6/2/15 15:30,3:00,1:00
WO384256,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,3/31/21 13:00,3:00,1:00
WO286777,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,4/6/17 19:49,3:00,1:00
WO301213,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,11/21/17 15:05,3:00,1:00
WO265012,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,6/8/16 13:35,3:00,1:00
WO329599,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,1/24/19 14:00,3:00,1:00
WO344078,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,8/31/19 13:00,3:00,1:00
WO363572,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,6/3/20 13:00,3:00,1:00
WO302399,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04703,Chiller 3,TRUE,5,12/6/17 18:23,3:00,1:00
WO389432,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,6/2/21 15:00,3:00,1:00
WO270622,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,8/16/16 15:11,3:00,1:00
WO248628,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,11/18/15 20:00,3:00,1:00
WO311157,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,4/17/18 17:00,3:00,1:00
WO201034,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,5/7/14 15:30,3:00,1:00
WO249530,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,12/3/15 14:00,3:00,1:00
WO356583,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04701,Chiller 1,TRUE,5,4/27/20 14:00,3:00,1:00
WO213354,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,9/17/14 15:30,3:00,1:00
WO327513,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,12/14/18 15:00,3:00,1:00
WO320148,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,9/24/18 14:58,3:00,1:00
WO246357,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,10/21/15 15:00,3:00,1:00
WO311159,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04701,Chiller 1,TRUE,5,4/13/18 13:39,3:00,1:00
WO306024,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,1/22/18 19:21,3:00,1:00
WO330495,Refrigerant Addition and more specific Small Amount related to refrigerant circuit,refrigerant circuit,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04014,Chiller 14,TRUE,5,2/7/19 20:00,3:00,1:00
WO274023,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,10/12/16 20:51,3:00,1:00
WO251135,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,12/30/15 17:00,3:00,1:00
WO309082,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,3/9/18 18:03,3:00,1:00
WO370428,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,8/19/20 16:38,3:00,1:00
WO328584,Refrigerant Addition and more specific Small Amount related to refrigerant circuit,refrigerant circuit,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04014,Chiller 14,TRUE,5,1/10/19 19:00,3:00,1:00
WO293862,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,7/20/17 16:49,3:00,1:00
WO296198,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,8/28/17 18:27,3:00,1:00
WO202267,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,5/29/14 15:30,3:00,1:00
WO306020,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,1/12/18 18:58,3:00,1:00
WO208055,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,7/30/14 15:30,3:00,1:00
WO400954,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04007,Chiller 7,TRUE,5,11/22/21 13:15,3:00,1:00
WO306025,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,1/16/18 16:07,3:00,1:00
WO318095,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,7/24/18 13:37,3:00,1:00
WO273035,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,9/23/16 19:00,3:00,1:00
WO233765,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,5/5/15 15:30,3:00,1:00
WO257168,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,3/1/16 16:00,3:00,1:00
WO284290,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,3/6/17 20:50,3:00,1:00
WO279373,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,12/27/16 18:33,3:00,1:00
WO239386,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,7/21/15 15:30,3:00,1:00
WO242653,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,9/10/15 15:30,3:00,1:00
WO339714,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,6/11/19 14:00,3:00,1:00
WO208056,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,7/30/14 15:30,3:00,1:00
WO236919,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,6/16/15 15:30,3:00,1:00
WO205068,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,6/18/14 15:30,3:00,1:00
WO332038,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,2/28/19 13:00,3:00,1:00
WO216644,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,10/24/14 15:30,3:00,1:00
WO314541,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,5/24/18 19:45,3:00,1:00
WO206155,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,7/1/14 15:30,3:00,1:00
WO302919,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,11/30/17 18:56,3:00,1:00
WO237866,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,6/29/15 15:30,3:00,1:00
WO292870,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,7/12/17 12:59,3:00,1:00
WO318096,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,8/27/18 19:00,3:00,1:00
WO257165,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,3/4/16 18:30,3:00,1:00
WO275078,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,10/19/16 15:06,3:00,1:00
WO266634,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,6/22/16 18:27,3:00,1:00
WO341900,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,7/26/19 18:30,3:00,1:00
WO259221,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,4/10/16 17:30,3:00,1:00
WO315754,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,6/13/18 18:32,3:00,1:00
WO250649,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04703,Chiller 3,TRUE,5,1/17/16 14:00,3:00,1:00
WO224847,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,1/19/15 11:00,3:00,1:00
WO201036,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,5/6/14 15:30,3:00,1:00
WO209512,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,8/13/14 15:30,3:00,1:00
WO248627,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,11/19/15 20:30,3:00,1:00
WO314543,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,6/1/18 12:58,3:00,1:00
WO283386,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04703,Chiller 3,TRUE,5,3/13/17 16:42,3:00,1:00
WO330494,Refrigerant Addition and more specific Small Amount related to refrigerant circuit,refrigerant circuit,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04013,Chiller 13,TRUE,5,2/8/19 16:00,3:00,1:00
WO289660,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,5/25/17 17:53,3:00,1:00
WO392062,Refrigerant Addition and more specific Small Amount related to entire chiller system,entire chiller system,MT004,Refrigerant Addition,MT004a,Small Amount,CWC04010,Chiller 10,TRUE,5,7/13/21 15:00,3:00,1:00
WO198947,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,4/28/14 15:30,3:00,1:00
WO241302,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,8/19/15 15:30,3:00,1:00
WO214601,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,9/29/14 15:30,3:00,1:00
WO277091,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04013,Chiller 13,TRUE,5,11/20/16 16:00,3:00,1:00
WO381216,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04701,Chiller 1,TRUE,5,2/17/21 14:00,3:00,1:00
WO280143,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04014,Chiller 14,TRUE,5,1/12/17 15:30,3:00,1:00
