event_id,event_group,event_category,event_type,description,equipment_id,equipment_name,event_time,note
WO88140,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-11-21 15:30:00,
WO90030,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-12-30 13:59:00,
WO95196,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-01-08 15:30:00,
WO93154,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-01-09 15:30:00,
WO91359,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-01-11 07:15:00,
WO95205,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-01-11 09:30:00,
WO98969,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-01-13 15:30:00,
WO95245,WORK_ORDER,CM,MT008,Leak Detection,CWC04701,Chiller 1,2012-01-17 12:03:00,
WO92234,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-01-17 15:30:00,
WO94940,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-01-18 15:30:00,
WO94645,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-01-25 08:00:00,
WO99477,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-02-06 15:37:00,
WO98509,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-02-10 07:30:00,
WO98967,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-02-11 09:45:00,
WO100432,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-02-23 07:30:00,
WO98971,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-03-03 15:00:00,
WO101736,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-03-03 15:30:00,
WO105926,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-04-12 07:30:00,
WO107358,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-04-17 15:30:00,
WO103681,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-04-17 19:30:00,
WO109525,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-05-04 15:30:00,
WO108713,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2012-05-24 17:30:00,
WO111363,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-07-05 19:30:00,
WO113290,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-07-05 19:30:00,
WO116032,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-07-14 07:15:00,
WO114384,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-07-14 08:00:00,
WO116992,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-07-22 15:30:00,
WO115876,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2012-07-22 15:30:00,
WO118312,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2012-08-08 23:00:00,
WO119532,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-08-17 04:15:00,
WO123840,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-08-25 19:30:00,
WO121787,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-09-03 15:30:00,
WO123688,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-09-05 17:30:00,
WO125749,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-10-10 07:30:00,
WO127342,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-10-11 15:30:00,
WO126279,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2012-10-18 04:30:00,
WO129489,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-11-03 15:30:00,
WO130988,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-11-03 15:30:00,
WO130761,WORK_ORDER,PM,MT011,Calibration,CWC04701,Chiller 1,2012-11-17 13:00:00,
WO133594,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2012-11-30 04:30:00,
WO130152,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2012-12-27 11:24:00,
WO136620,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-01-11 07:30:00,
WO142797,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-01-16 19:30:00,
WO139574,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-01-18 07:30:00,
WO138267,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-01-19 08:00:00,
WO135494,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-01-25 07:30:00,
WO140215,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-01-27 09:30:00,
WO145947,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-02-07 03:30:00,
WO142341,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-02-08 15:30:00,
WO142676,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-02-15 04:30:00,
WO142339,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-02-18 04:00:00,
WO143759,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-02-24 15:30:00,
WO145763,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-03-08 07:30:00,
WO147017,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-04-06 15:30:00,
WO149235,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-04-06 15:30:00,
WO150589,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-05-01 05:30:00,
WO152843,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-05-07 07:30:00,
WO151987,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2013-05-24 12:54:00,
WO155383,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-06-03 06:30:00,
WO157303,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-06-07 06:00:00,
WO160697,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-07-09 05:00:00,
WO158785,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-07-14 09:00:00,
WO160555,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2013-07-14 15:30:00,
WO163689,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2013-07-22 18:00:00,
WO163238,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-07-27 15:30:00,
WO164565,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-08-09 07:30:00,
WO166834,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-08-21 07:30:00,
WO169736,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-09-06 07:30:00,
WO168573,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-09-06 07:30:00,
WO170101,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2013-09-07 15:30:00,
WO171697,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-09-10 07:00:00,
WO178427,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-11-01 15:30:00,
WO178718,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-11-03 15:30:00,
WO174262,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-11-08 07:30:00,
WO176642,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-11-08 07:30:00,
WO178540,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-11-22 07:30:00,
WO175380,WORK_ORDER,PM,MT011,Calibration,CWC04701,Chiller 1,2013-11-23 11:30:00,
WO179629,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2013-11-30 15:30:00,
WO181734,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-01-04 15:30:00,
WO181034,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-01-08 07:30:00,
WO183638,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-01-12 15:30:00,
WO188257,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-01-26 15:30:00,
WO185216,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-01-30 07:30:00,
WO189980,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-02-18 07:30:00,
WO192262,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-03-02 15:30:00,
WO197216,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-04-06 07:45:00,
WO195081,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-04-06 08:30:00,
WO192242,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2014-04-14 15:30:00,
WO198948,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-04-25 07:30:00,
WO200360,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-05-05 07:30:00,
WO205445,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-05-19 15:30:00,
WO202268,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-05-28 07:30:00,
WO202880,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-06-02 07:30:00,
WO202869,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2014-07-09 11:00:00,
WO205070,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-07-11 15:30:00,
WO206311,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-07-15 07:30:00,
WO207556,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-07-20 15:30:00,
WO208758,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-08-04 07:30:00,
WO211035,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-08-19 07:30:00,
WO212349,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-09-03 07:30:00,
WO213627,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2014-10-10 07:30:00,
WO213355,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-10-11 15:30:00,
WO214779,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-10-12 15:30:00,
WO211680,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2014-10-15 13:50:00,
WO216091,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-10-30 07:30:00,
WO217472,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-10-31 07:30:00,
WO219588,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-11-18 07:30:00,
WO212296,WORK_ORDER,PM,MT011,Calibration,CWC04701,Chiller 1,2014-11-22 12:00:00,
WO220814,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2014-12-03 06:30:00,
WO222100,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-01-03 15:30:00,
WO223159,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-01-04 15:30:00,
WO224848,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-01-24 15:30:00,
WO225610,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-02-16 07:30:00,
WO222163,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-02-24 07:30:00,
WO227704,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-02-28 15:30:00,
WO232185,WORK_ORDER,CM,M004,Rupture,CWC04701,Chiller 1,2015-03-13 11:30:00,
WO232195,WORK_ORDER,CM,M017,Major Overhaul,CWC04701,Chiller 1,2015-03-25 03:30:00,
WO230271,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-04-07 07:30:00,
WO219673,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-04-07 19:30:00,
WO228432,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-04-08 07:30:00,
WO231326,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-04-10 07:30:00,
WO232250,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-04-28 07:30:00,
WO233483,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-05-03 15:30:00,
WO228419,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2015-05-15 20:15:00,
WO234942,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-05-19 07:30:00,
WO236093,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-06-04 07:30:00,
WO236920,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-06-15 07:30:00,
WO235604,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2015-07-02 13:30:00,
WO238021,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-07-07 07:30:00,
WO237635,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2015-07-10 07:30:00,
WO238840,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-07-25 15:30:00,
WO239943,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-07-31 07:30:00,
WO241303,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-08-20 15:30:00,
WO242838,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-09-09 15:30:00,
WO243370,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2015-09-15 15:30:00,
WO243599,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-10-03 19:30:00,
WO244888,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-10-04 14:00:00,
WO242147,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2015-10-10 16:30:00,
WO242780,WORK_ORDER,PM,MT011,Calibration,CWC04701,Chiller 1,2015-10-17 13:31:00,
WO246359,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-10-30 19:00:00,
WO246983,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-11-03 18:55:00,
WO248629,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-11-19 14:00:00,
WO249695,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2015-12-30 13:00:00,
WO248712,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-01-03 15:30:00,
WO250647,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-01-03 19:00:00,
WO253168,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-01-17 18:00:00,
WO251787,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-01-19 17:00:00,
WO250703,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-01-20 15:00:00,
WO257047,WORK_ORDER,CM,MT009,Refrigerant Transfer,CWC04701,Chiller 1,2016-02-08 20:30:00,
WO254656,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-02-10 16:00:00,
WO255998,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-02-19 18:30:00,
WO257386,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-03-04 08:30:00,
WO258700,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-03-14 15:00:00,
WO259891,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-04-21 14:30:00,
WO264019,WORK_ORDER,CM,MT009,Refrigerant Transfer,CWC04701,Chiller 1,2016-04-25 19:30:00,
WO261662,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-04-26 15:30:00,
WO262363,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-04-29 14:41:00,
WO256715,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2016-05-12 19:00:00,
WO264057,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-05-19 19:04:00,
WO265204,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-06-12 13:08:00,
WO266187,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-06-15 12:05:00,
WO267199,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-07-12 17:31:00,
WO268669,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-07-20 11:35:00,
WO266741,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2016-08-02 19:30:00,
WO269671,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-08-07 15:16:00,
WO270624,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-08-17 18:54:00,
WO265198,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2016-08-19 19:00:00,
WO271681,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-08-31 16:34:00,
WO272259,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2016-09-12 17:00:00,
WO273656,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-10-21 18:42:00,
WO275080,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-10-25 18:42:00,
WO272575,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-10-28 13:00:00,
WO271163,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2016-11-04 12:00:00,
WO276193,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-11-04 17:20:00,
WO277093,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2016-11-22 17:56:00,
WO271637,WORK_ORDER,PM,MT011,Calibration,CWC04701,Chiller 1,2016-12-16 17:31:00,
WO278143,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2017-01-10 15:49:00,
WO279375,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2017-01-14 14:00:00,
WO279864,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2017-01-17 19:30:00,
WO278994,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2017-01-25 20:30:00,
WO282350,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2017-01-31 14:29:00,
WO277166,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2017-02-13 17:45:00,
WO281210,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2017-02-14 18:09:00,
WO283384,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2017-03-12 14:18:00,
WO284512,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2017-03-12 14:22:00,
